,mt,mr,mre,mp
0,"realme Narzo 50A (Oxygen Blue, 64 GB)",4.4,"1,58,413 Ratings & 9,539 Reviews","₹11,499"
1,"realme Narzo 50A (Oxygen Blue, 128 GB)",4.4,"1,58,413 Ratings & 9,539 Reviews","₹12,499"
2,"realme Narzo 50A (Oxygen Green, 128 GB)",4.4,"1,58,413 Ratings & 9,539 Reviews","₹12,499"
3,"realme Narzo 50A (Oxygen Green, 64 GB)",4.4,"1,58,413 Ratings & 9,539 Reviews","₹11,499"
4,"REDMI 9i Sport (Coral Green, 64 GB)",4.3,"24,652 Ratings & 1,248 Reviews","₹8,999"
5,"realme C21Y (Cross Blue, 64 GB)",4.5,"1,92,975 Ratings & 7,235 Reviews","₹10,499"
6,"realme C21Y (Cross Blue, 32 GB)",4.5,"27,419 Ratings & 901 Reviews","₹9,499"
7,"realme C21Y (Cross Black, 64 GB)",4.5,"1,92,975 Ratings & 7,235 Reviews","₹10,499"
8,"realme C21Y (Cross Black, 32 GB)",4.5,"27,419 Ratings & 901 Reviews","₹9,499"
9,"Infinix Smart 5A (Ocean Wave, 32 GB)",4.4,"51,893 Ratings & 3,392 Reviews","₹6,999"
10,"Infinix Smart 5A (Quetzal Cyan, 32 GB)",4.4,"51,893 Ratings & 3,392 Reviews","₹6,999"
11,"Infinix Smart 5A (Midnight Black, 32 GB)",4.4,"51,893 Ratings & 3,392 Reviews","₹6,999"
12,"REDMI 9i (Midnight Black, 64 GB)",4.3,"5,27,371 Ratings & 31,157 Reviews","₹8,999"
13,"REDMI 9i (Nature Green, 64 GB)",4.3,"5,27,371 Ratings & 31,157 Reviews","₹8,999"
14,"Infinix Hot 10S (Heart Of Ocean, 64 GB)",4.3,"65,277 Ratings & 5,630 Reviews","₹9,999"
15,"REDMI 9i (Sea Blue, 64 GB)",4.3,"5,27,371 Ratings & 31,157 Reviews","₹8,999"
16,"POCO C31 (Royal Blue, 64 GB)",4.3,"8,741 Ratings & 446 Reviews","₹9,499"
17,"REDMI 9i Sport (Metallic Blue, 64 GB)",4.3,"24,652 Ratings & 1,248 Reviews","₹8,999"
18,"realme C11 2021 (Cool Grey, 32 GB)",4.4,"1,32,676 Ratings & 6,164 Reviews","₹7,499"
19,"realme 8s 5G (Universe Purple, 128 GB)",4.4,"32,370 Ratings & 2,709 Reviews","₹19,999"
20,"realme Narzo 50i (Mint Green, 32 GB)",4.5,"33,444 Ratings & 1,308 Reviews","₹7,499"
21,"realme Narzo 50i (Carbon Black, 32 GB)",4.5,"33,444 Ratings & 1,308 Reviews","₹7,499"
22,"realme C25_Y (Metal Grey, 64 GB)",4.5,"5,656 Ratings & 237 Reviews","₹10,999"
23,"realme C25_Y (Glacier Blue, 64 GB)",4.5,"5,656 Ratings & 237 Reviews","₹10,999"
